,question,classification
6698,"El Chavo adalah video game yang diterbitkan oleh Slang Publishing, yang didasarkan pada seri animasi Meksiko yang didasarkan pada serial TV lain yang dibuat oleh Roberto Gomez Bolonos?",C
6699,Pada tahun berapa Eropa Athletics Junior Championships diselenggarakan di ibu kota Slovenia?,C
6700,1 Alabama Siege Artilery Unit dibantai oleh pasukan Konfederasi di bawah komando?,C
6701,Astronom yang merumuskan teori nukleosinisis bintang co-penulis kertas landmark apa?,C
6702,"Tahun berapa aktornya, yang muncul di ""One Life to Live"" dan ""General Hospital"" tahun 2012, mendapatkan Penghargaan Emmy Daytime?",C
6703,Apa kebangsaan perusahaan ini yang melayani MS Moby Dada?,C
6704,Kapan ekonom Amerika yang Joseph A. Loftus bekerja sebagai asisten komunikasi lahir?,C
6705,"Apa nama saudara-saudara dari efek khusus pengawas, dikenal untuk karyanya pada film berdasarkan pada tim superhero Marvel Comics?",C
6706,"Putra - Putra Charles Scribner menerbitkan buku - buku penulis mana yang membahas topik - topik seperti Perang Dingin, matematika, politik, dan ekonomi, dan terorisme global?",C
6707,"Apa dua atraksi Swiss yang menyebabkan ""hotel besar"" di mana Jakob Ragaz bekerja?",C
6708,Kapan musim kedelapan diperbarui untuk seri dibintangi Al Harrington?,C
6709,"Genus mana yang mengandung lebih banyak spesies, Crowea atau Dracula?",C
6710,"Antara Pine dan Butea, genus mana yang paling banyak spesiesnya?",C
6711,Di mana Mark Chamberlain dan Alex Oxlade-Camberlain berada?,C
6712,"Lenroy Thomas adalah juara kelas berat dunia saat ini setelah mengalahkan petinju profesional Inggris yang memiliki rekor 12 kemenangan, 3 kekalahan, dan berapa banyak yang menarik?",C
6713,"Siapa ketua promotor dari penyanyi ""For The Good Times""?",C
6714,Tim desain untuk bermain game Black Crusade menampilkan karya desainer ini yang memimpin developer untuk permainan apa?,C
6715,Apa posisi di pengadilan Profesor Hukum di Interdisciplinary Center di Herzliya?,C
6716,Apakah Jon Krakauer dan M. P. Shiel keduanya penulis?,C
6717,Pertempuran mana yang pertama kali terjadi dalam Pertempuran Sungai Ch'ongch'on dan Pertempuran Tarawa?,C
6718,Kisah Pria yang berubah menjadi Anjing adalah jenis permainan yang cocok dengan genre yang didirikan selama era apa?,C
6719,Siapa tentara Archie A. Peck komandan selama Meuse-Argonne Offensive?,C
6720,Apakah Xingcheng atau Ulan Hot terletak di wilayah Mongolia Dalam di Cina?,C
6721,Direktur televisi dan produser yang memenangkan Penghargaan Emmy Daytime untuk bekerja di acara televisi khusus Amerika yang ditayangkan pada Hari Natal di ABC menang dan Emmy Award untuk apa?,C
6722,"Los Angeles Historic-Cultura Monument (No. 139) menjadi tuan rumah sebuah acara oleh organisasi apa di Oct 12, 1991?",C
6723,"Di mana tim yang dilatih oleh seseorang dengan julukan ""Coach K"" bermain?",C
6724,"Nama ketiga siapa yang pertama dalam urutan abjad, Juan Carlos Onetti atau Richard Llewellyn?",C
6725,Kota mana di New Hampshire yang berpenduduk 5.457 orang pada tahun 2010 yang terletak di Gunung Monadnock?,C
6726,Adam Fox adalah salah satu anggota pertama dari kelompok diskusi sastra informal yang berhubungan dengan Universitas apa?,C
6727,"Apa yang digambarkan oleh tokoh Natal Finlandia, yang pada akhirnya kurang lebih digemari Santa Claus, memiliki representasi modern yang biasanya terbuat dari jerami?",C
6728,Apakah film dokumenter Hot Girls Wanted and The Truth According to Wikipedia memiliki sutradara yang sama?,C
6729,"Siapa yang memenangkan penghargaan sastra lagi, Annie Dillard atau Gabriel García Márquez?",C
6730,Apa penulis dari Freeway Warrior pekerjaan asli?,C
6731,"Peran apa yang dimainkan dalam ""Who Framed Roger Rabbit"" oleh aktor yang memainkan karakter Keluarga Addams dimainkan oleh Jackie Coogan dalam serial televisi asli?",C
6732,"Para ahli bintang aktor apa yang dikenal untuk ""Saturday Night Fever"" dan ""Grease""?",C
6733,Jembatan Penny Rae dibintangi di sebuah sitkom televisi dengan aktor lain apa?,C
6734,Jimmy D'Arcy bermain di Irlandia Utara untuk tim berbasis di daerah apa?,C
6735,Apakah Gurun yang Hidup dan Apa yang Akan Yesus Beli? yang dipimpin oleh orang yang sama?,C
6736,Rencana Ghostkeeper terinspirasi oleh legenda yang memberikan namanya pada kondisi medis seperti apa?,C
6737,"Multikulturalisme di Belanda mencapai ketinggian baru setelah pembunuhan pada tahun 2002, sebagian, dengan apa Belanda politisi, PNS, sosialogis dan profesor yang membentuk partainya sendiri?",C
6738,Siapa yang pertama lahir Margaret Pellegrini atau Jerry Maren?,C
6739,"Apakah Jimmy Barnes memiliki lebih banyak hits, baik solo dan dalam kelompok, daripada Yang Seung-ho memiliki dengan kelompoknya?",C
6740,Apa berlari kembali mengakhiri karirnya pada tahun 2006 dan adalah salah satu rushers Matt O'Dwyer diblokir untuk?,C
6741,"Apa kebangsaan Amed Rosario, shortstop untuk New York Mets?",C
6742,Apa Tionne Watkins dan Park So-yeon pernah menjadi anggota grup wanita?,C
6743,Penerbit mana yang memproduksi komik yang menampilkan Spider-Man dan Daredevils?,C
6744,Rocket Rods adalah atraksi sensasi kecepatan tinggi dibuka pada tahun 1998 pada infrastruktur yang ada dari daya tarik transportasi yang beroperasi sampai kapan?,C
6745,Bangunan macam apa yang digunakan orang Romawi yang masih merupakan gaya arsitektur yang paling umum bagi gereja - gereja di Eropa dan Amerika?,C
6746,Aktor Amerika mana yang memainkan penjahit New York City di The Angel Levine?,C
6747,Apakah Setelah Midnight Project dan Aaroh baik band rock?,C
6748,"Dalam serial televisi Green Hornet, aktor mana yang berperan sebagai Kato?",C
6749,The Feminine Touch adalah film drama dibintangi aktris Inggris yang mana?,C
6750,"The College of Arts and Sciences of Ohio University terletak di halaman tengah universitas quadrangle, yang duduk selaras dengan arah utama, dengan bangunan apa yang menghadap ke utara yang benar?",C
6751,"Siapa yang membuat album hip-hop dengan penampilan tamu dari Hakim, Lotek dan Necro dan juga menulis buku-buku kejahatan semi-autobiografis?",C
6752,Spider9 didirikan tahun 2011 oleh anak perusahaan mana dari Wanxiang Group?,C
6753,Kathleen Matthews memegang posisi politik apa di Maryland Partai Demokrat?,C
6754,"Karakter apa yang dimainkan James Byron Dean dalam peran utama terakhirnya, yang membuatnya mendapat penghargaan Akademi kedua?",C
6755,Siapa nama pria yang bekerja sama dengan insinyur listrik yang dianugerahi Hadiah Nobel Fisika pada bulan Desember 2000?,C
6756,film apa yang dibintangi Melissa McCarthy fitur karakter bernama Slimer?,C
6757,"Permainan mana yang pertama kali diterbitkan, Dekat dan Jauh atau Raja Tokyo?",C
6758,Universitas mana Bill Daly lulus bahwa Gary Bettman juga lulus?,C
6759,"Siapa anggota grup musik, Ian MacKaye atau Brody Dalle?",C
6760,Kapan politisi Inggris Damian Green negara yang mengatakan bahwa e-Borders akan mengumpulkan informasi Semua penumpang pada 100% penerbangan non-EEA ke Inggris?,C
6761,"Siapa yang menyutradarai film di mana Catherine Ann ""Kate"" Bosworth membuat debutnya?",C
6762,"Yang diterbitkan di Perancis, Keuntungan atau Instyle?",C
6763,"Siapa yang pertama lahir, Little Feat Lowell George, atau Ian Hunter dari Mott the Hoople?",C
6764,Nochnye Snaipery didirikan oleh Svetlana Surganova dan seorang wanita yang adalah seniman terhormat dari mana?,C
6765,Bintang tua 8 tahun mana dari sebuah novel epistolory yang memutar musik oleh Alice Walker juga menyuarakan Frankie Greene dalam sebuah serial Disney?,C
6766,"Apa nama kelompok desertir tentara Konfederasi dalam film 2016 yang dibintangi Matthew McConaughey, Gugu Mbatha-Raw, dan Keri Russell?",C
6767,Kodeks Escalade memperlihatkan suatu penampakan kepada santo yang berasal dari negeri mana?,C
6768,"Di Amerika Serikat, bubuk senjata digunakan bersama dengan ini untuk memulai Boomershot.",C
6769,Partai politik apa yang dimiliki Jaksa Agung Missouri saat ini?,C
6770,Apa jenis musik The Stone Roses dan The Lemonheads bermain?,C
6771,"Dawn Lake menggambarkan bintang ""I Love Lucy"" sebagai apa?",C
6772,Mana yang akan lebih tinggi Time Warner Center atau One Manhattan Square?,C
6773,"Singer Eddie Fisher, yang membuat album ""I'm in the Mood for Love"" pada tahun 1952, kemudian memiliki skandal dengan aktris apa?",C
6774,Permainan apa yang harus bertindak sebagai penjaga keamanan malam adalah properti intelektual baru yang dirilis pada tahun 2014?,C
6775,"Anjing mana yang berkembang biak, Schapendoes atau Bull Terrier, memiliki asal-usul yang lebih banyak dari jenis anjing lainnya?",C
6776,Dane William DeHaan membintangi film yang diarahkan oleh Anton Corbijn bersama aktor yang mana?,C
6777,Nama seorang aktris Amerika yang membintangi baik di SMA dan Rumah Sakit Umum.,C
6778,"Apa nama asli grup penyanyi wanita yang merekam ""The Happening""?",C
6779,"Yang merupakan produksi ke-2 Disney, Pinokio atau Home on the Range?",C
6780,Dum Dum Dum Motijheel College terletak di ibu kota Benggala Barat?,C
6781,Apa nama panggilan dari penulis komik strip di mana film komedi tiga dimensi Amerika tahun 2015 diproduksi oleh Blue Sky Studios dan didistribusikan oleh 20th Century Fox berbasis?,C
6782,"Apa nama wilayah yang termasuk kota Dover dan Portsmouth, New Hampshire?",C
6783,bahasa apa yang digunakan kelompok etnis yang Torstein Ellingsen adalah drumer nya berbicara,C
6784,Apa Asosiasi Kolaborasi Anggur Nasional diklasifikasikan sebagai?,C
6785,"Politisi Amerika dan pengacara yang bertanding dalam pemilihan walikota San Francisco, 2003",C
6786,"Northland Mall adalah pusat perbelanjaan pertama di Columbus, 5 tahun sebelum pusat perbelanjaan mana di persimpangan US-40 dan I-270?",C
6787,Berbahaya adalah buku komentator politik mana?,C
6788,Apa penari profesional dua kali menyalakan festival lampu berlangsung di Pantai Fylde di Lancashire?,C
6789,"Kapankah film Amerika, aktris televisi dan teater yang lahir yang merupakan bintang dalam film Matchmaker dan juga menerima Penghargaan Hidup AFI ke-40?",C
6790,"Di antara Thomas Anders dan Micky Dolenz, siapa vokalis Monkees?",C
6791,"Dimana Liga Hoki Amerika, tempat bermain Dan Frawley?",C
6792,John Douglas Gibson tinggal di pinggiran kota di mana?,C
6793,Apakah Bandara Internasional Pago Pago dan Bandara Hoonah keduanya di wilayah Amerika?,C
6794,"Yang pizza rantai memiliki lokasi di lebih banyak kota, Round Table Pizza atau Marion Piazza?",C
6795,Perampok apa yang dituntut Frederick John Fulton?,C
6796,Apa bagian yang Dan Lewis bermain untuk Arsenal Football Club?,C
6797,Pada tahun berapa undang-undang yang paling terkenal di Po Lin Biara dibangun?,C
6798,resor Las Vegas milik bajak laut mana yang dikembangkan oleh Steve Wynn?,C
6799,Siapa yang mendahului pria yang memotong Berlian Nassak dan ditempatkan di gagang pedangnya?,C
6800,"Pada tahun berapa penyanyi yang album remix kedua adalah ""Hannah Montana Hits Remixed"" lahir?",C
6801,"Yang merupakan nama formal spesies pohon, Bee tree atau Microcachrys?",C
6802,"Apa kota non-kapita terbesar di Queensland, Australia yang termasuk pinggiran kota bernama Helena White?",C
6803,Apa nama panggilan daerah di Irlandia Utara di mana pembunuhan Tandragee terjadi?,C
6804,Ellesmere Port Town Football Club saat ini adalah anggota dari liga sepak bola Inggris yang saat ini sponsor utamanya adalah Carlsberg?,C
6805,Apakah Menara Metropolitan atau 750 7th Avenue Skyscaper lebih tinggi?,C
6806,Diantara Kele Okereeke dan Jon Hume yang membuat band Selandia Baru Evermore?,C
6807,Jenis sprite apa yang digambarkan Milada ▪ubrtová dalam opera Antonín Dvoák yang terkenal?,C
6808,Dionne Bunsha baru-baru ini bekerja untuk majalah yang diterbitkan oleh perusahaan apa?,C
6809,The Carlsberg Group menyeduh bir Belgia awalnya dibuat oleh biarawan urutan apa?,C
6810,Apa nama tengah mantan pemain Stanford Cardinals yang menangkap 57 lewat untuk 1010 yard dan 14 TDS?,C
6811,Apakah Couroupita dan tanaman Graptopetalum berasal dari Amerika Tengah?,C
6812,Apa yang dimaksud dengan etnis orang Prancis sewaktu mereka menggunakan istilah banlieues?,C
6813,CEO FedEx yang mengundang Nilai Amerika,C
6814,"Yang memiliki lebih banyak spesies di Asia, Disporum atau Boltonia?",C
6815,Apa rapper wanita lain muncul Brittany Nicole Carpento di remix resmi untuk Chick Bad saya?,C
6816,Apa bisnis Manny Cusins adalah ketua make?,C
6817,Nun didasarkan pada apa serial film didasarkan pada kasus nyata kehidupan Ed dan Lorraine Warren?,C
6818,Tahun berapa ayah Willem van Oldenbarnevelt meninggal?,C
6819,Apakah Xinxiang dan Qionglai City kedua kota tingkat kabupaten?,C
6820,"Apa yang lebih tua, Downfall atau Dark Tower?",C
6821,Perusahaan penyiaran Amerika mana yang menyiarkan acara komedi yang diadakan oleh Emma Willmann?,C
6822,Berapa lama sungai itu berada di Jembatan Atherton?,C
6823,Membiarkan aktivis asli Amerika dari bumi berbicara lahir dimana?,C
6824,"Pengadilan di mana keputusan yang paling penting dari ""Black Book of the Admiral"" di mana didirikan di bawah seorang raja yang juga dikenal sebagai apa dari Skotlandia?",C
6825,Tentang Time adalah film komedi-drama romantis Inggris yang membintangi aktor dan penulis Irlandia yang menerima gelar sarjana seni dari mana?,C
6826,politisi Australia yang mewakili Distrik Elektoral Goulburn,C
6827,Apa nama keluarga penggubah karya - karya Italia yang dirayakan oleh orang bariton Giovanni Polese?,C
6828,The View from the Bottom is the five studio album by a American rock band best known for what hit song?,C
6829,"Perenang Amerika mana, yang dilatih oleh Ray Loze, memenangkan medali perunggu dalam gaya dada pria 100 meter di Olimpiade Musim Panas 2016?",C
6830,Film tahun 1962 yang dibintangi Tom Courtenay didasarkan pada cerita pendek nama yang sama?,C
6831,Partai mana yang mendominasi tiga terakhir pemilu negara di mana Arataca adalah kota praja?,C
6832,Igor Naming Agency bernama resort yang terletak di mana?,C
6833,Apa yang membedakan pulau - pulau di mana Penghargaan Pilihan Ajaib Afrika 2015 diadakan?,C
6834,"Film mana yang pertama dirilis, The Watercolor or Pokémon: Arceus and the Jewel of Life?",C
6835,Peran apa yang Kim Dong-wook mainkan dalam film sejarah Korea Selatan 2012 yang disutradarai oleh Kim Dae-seung?,C
6836,"Apa contoh caesium-137, radium dan uranium-234?",C
6837,Havelock Ellis dan Arnold Bennett keduanya apa?,C
6838,Carnaval del Pueblo merupakan perayaan terbesar Eurpoe tentang pernyataan apa dari rakyat Amerika Latin?,C
6839,Kapan album yang dirilis untuk Lady Gaga digunakan untuk bahan untuk acara Super Bowl LI-nya?,C
6840,Siapa yang menggubah musik tema pada tahun 1989 dari seri televisi animasi yang memiliki pengaturan terkini oleh seseorang yang telah mencetak atau mengatur musik untuk lebih dari 30 film dan acara televisi?,C
6841,Universitas apa di India yang mengadakan festival sastra yang telah mengundang mantan Perdana Menteri Panchayati Raj sebelumnya?,C
6842,"Mooreville, Mississippi terletak di jalan raya Interstate mana yang mengikuti US Route 78?",C
6843,"Kapan ""Schutzstaffel"" Austria (SS) petugas lahir berdasarkan siapa hidup Schapira co-penulis buku?",C
6844,Para penyelam Inggris yang tampil dalam Splash! mengkhususkan diri dalam peristiwa apa?,C
6845,Siapa pacar Thelma Lou dalam seri dengan Jim Nabors?,C
6846,"genus mana yang memiliki lebih banyak spesies, Quesnelia atau Honeysuckle?",C
6847,"Pada tahun berapa koreografer untuk ""Terbaik Foot Forward"" lahir?",C
6848,Siapa yang lahir pada bulan Agustus dan seorang profesor?,C
6849,"Pemain poker profesional Amerika mana yang juga membintangi film ""Extraction"" 2015?",C
6850,Kapan George menganggap Hale lahir di kota itu?,C
6851,Aktivis asli Amerika mana yang dikenal karena keterlibatannya dalam Gerakan Indian Amerika yang menangani insiden pelecehan polisi dan rasisme terhadap Penduduk Asli Amerika?,C
6852,Siapa sekretaris dari Winter Queen?,C
6853,"Berapa populasi kota yang dimulai dengan huruf ""B"" yang terhubung dengan State Route 582 ke Las Vegas?",C
6854,"Rex Salas adalah produser rekaman Amerika yang bekerja dengan penyanyi dan aktris Amerika yang digambarkan sebagai menyembunyikan otonomi wanita dalam industri laki-laki, dan kadang-kadang disebut sebagai apa?",C
6855,Roy Shepherd dianggap anggota fakultas dari kombinasi apa dari perguruan tinggi/universitas?,C
6856,"Jenis tanaman apa, Brasia atau Achimenes?",C
6857,"Saat ini, divisi mana yang kalah dari Jon Jones dalam UFC 140 pertandingan, bertarung?",C
6858,Apa yang membedakan merek sepatu yang dirujuk dalam album Pork Soda?,C
6859,Dahlia dan Aruncus keduanya adalah contoh dari jenis cataporisasi tanaman apa?,C
6860,Apa nama salah satu kapal perang Angkatan Laut Italia yang baru?,C
6861,Carol Kane berperan sebagai istri dari karakter fiksi mana di Taksi?,C
6862,Luis Gianngo adalah guru dari mana ketua eksponen musik rakyat Argentina?,C
6863,Siapa salah satu bintang dalam film komedi romantis horor Korea Selatan dari Hwang In-ho?,C
6864,Kelompok apa yang sama dengan Pinhead Gunpowder dan Billie Joe Armstrong?,C
6865,Kelompok macam apa kesamaan antara Josey Scott dan Kurt Cobain?,C
6866,"Berapa banyak novel besar yang ditulis penulis, yang buku 1811 diadaptasi untuk film 2008 dengan skenario karya Andrew Davies ?",C
6867,"Pencipta ""Wallace and Gromit"" juga menciptakan komedi animasi apa yang cocok dengan binatang kebun binatang animasi dengan soundtrack orang-orang berbicara tentang rumah mereka?",C
